"","Session
        #","Data","Trades","Min.
        price","Max.
        price","Avg.
        price*","Closing
        price**","Volume
        in securities","Volume"
"1","792","26/10/07","1","2.5000","2.5000","2.5000","2.5000","44","110.00"
"2","655","12/09/06","1","2.5000","2.5000","2.5000"," ","48","120.00"
"3","630","15/06/06","3","2.0000","2.0000","2.0000"," ","187","374.00"
"4","205","21/03/02","1","2.0900","2.0900","2.0900","","48","100.32"
